　	za	1
︳	za	1
︴	zc	1
﹏	zd	1
–	zw	1
︱	zx	1
—	zy	1
，	zb	1
﹐	zn	1
、	zc	1
；	zg	1
﹔	zr	1
：	zh	1
﹕	zs	1
！	zj	1
﹗	zu	1
？	zi	1
﹖	zt	1
．	ze	1
﹒	zp	1
︰	zk	1
‥	zm	1
…	zl	1
。	zd	1
·	zq	1
‘	zr	1
’	zs	1
“	zt	1
”	zu	1
〝	zv	1
〞	zw	1
（	ze	1
︵	zg	1
﹙	zl	1
）	zf	1
︶	zh	1
﹚	zm	1
｛	zi	1
︷	zk	1
﹛	zn	1
｝	zj	1
︸	zl	1
﹜	zo	1
︿	zb	1
〈	zy	1
〉	za	1
﹀	zc	1
《	zu	1
︽	zw	1
》	zv	1
︾	zx	1
「	zd	1
﹁	zf	1
」	ze	1
﹂	zg	1
『	zh	1
﹃	zj	1
』	zi	1
﹄	zk	1
【	zq	1
︻	zs	1
】	zr	1
︼	zt	1
〔	zm	1
︹	zo	1
﹝	zp	1
〕	zn	1
︺	zp	1
﹞	zq	1
‧	zf	1
′	zy	1
‵	zx	1
｜	zv	1
╴	zb	1
一	yat	14817
丁	ding	77
七	chat	359
万	maak	1
万	maan	1
万	mak	1
丈	jeung	30
三	saam	1738
上	seung	4806
下	ha	3431
丌	gei	59
不	bat	16624
与	yue	0
丏	min	0
丐	koi	7
丑	chau	7
且	che	753
丕	pei	2
世	sai	678
丘	yau	18
丙	bing	30
丞	sing	7
丟	diu	117
両	leung	0
並	bing	781
丨	kwan	0
丫	a	3
丫	nga	3
中	jung	7821
丮	gik	0
丰	fung	5
丱	gwaan	0
串	chuen	47
丳	chaan	0
丶	jue	0
丸	yuen	58
丹	daan	44
主	chu	1304
主	chue	1304
主	jue	1304
丿	pit	0
乂	ngai	0
乃	naai	89
久	gau	444
乇	tok	0
么	yiu	29
之	ji	3037
乍	ja	6
乎	foo	442
乏	fat	42
乒	bing	1
乒	ping	1
乓	bam	1
乓	bum	1
乖	gwaai	122
乘	sing	75
乙	yuet	65
乜	mat	0
九	gau	345
乞	hat	6
也	ya	4163
乩	gei	2
乳	yue	21
乸	na	0
乾	gon	130
乾	kin	130
亂	luen	304
亅	kuet	0
了	liu	8807
予	yue	89
争	jaang	0
争	jang	0
事	si	1816
二	yi	1487
亍	chuk	0
于	yue	46
云	wan	38
互	woo	109
亓	kei	0
五	ng	705
井	jeng	75
井	jing	75
亙	gang	1
些	se	1768
些	seh	1768
亞	a	194
亞	ah	194
亞	nga	194
亟	kei	8
亠	tau	0
亡	mo	92
亡	mong	92
亢	kong	3
交	gaau	4200
亥	hoi	4
亦	yik	245
亨	hang	43
享	heung	142
京	ging	75
亭	ting	17
亮	leung	181
亳	bok	0
亶	taan	0
亹	mei	0
人	yan	9337
什	sam	1620
什	sap	1620
仁	yan	172
仂	laak	0
仃	ding	0
仄	jak	7
仆	foo	1
仇	chau	35
仇	kau	35
仇	sau	35
仉	jeung	0
今	gam	838
介	gaai	308
仍	ying	273
仔	jai	180
仔	ji	180
仕	si	10
他	ta	3719
仗	jeung	21
付	foo	149
仙	sin	99
仜	hung	0
仝	tung	2
仞	yan	1
仟	chin	7
仡	ngat	0
代	doi	814
令	ling	397
以	yi	5819
仨	saam	0
仰	yeung	57
仱	kim	0
仲	jung	34
仳	pei	0
仵	ng	0
件	gin	566
价	ga	0
价	gaa	0
价	gaai	0
任	yam	671
份	fan	572
仿	fong	24
伀	jung	0
企	kei	85
伈	sam	0
伉	kong	0
伊	yi	84
伋	kap	0
伍	ng	66
伎	gei	1
伏	fuk	26
伐	fat	13
休	yau	111
伒	gan	0
伔	cham	0
伕	foo	0
优	yau	0
伙	foh	67
伢	nga	0
伭	yuen	0
伯	bak	129
估	goo	48
估	gu	48
伳	sit	0
伴	boon	109
伶	ling	8
伸	san	47
伺	si	12
伻	ping	0
似	chi	436
伽	ga	5
伽	gaa	5
伾	pei	0
佁	yi	0
佃	din	0
但	daan	2119
佇	chue	20
佈	bo	93
佈	bou	93
佉	kui	0
佌	chi	0
位	wai	1686
低	dai	272
住	chu	492
住	chue	492
住	jue	492
佐	joh	18
佑	yau	24
佒	yeung	0
体	tai	24
佔	jim	94
何	hoh	2304
佖	bat	0
佗	toh	1
佘	se	0
佘	seh	0
余	yue	29
佚	dit	0
佛	fat	282
作	jok	1654
佝	kau	0
佞	ling	1
佟	tung	0
你	lei	5365
你	nei	5365
佢	kui	2
佣	yung	1
佤	nga	0
佧	ka	0
佩	pooi	68
佩	pui	68
佩	pui	68
佪	wooi	0
佪	wui	0
佬	lo	16
佯	yui	2
佰	baak	7
佳	gaai	226
佴	yi	0
併	bing	26
佶	gat	0
佷	han	0
佸	woot	0
佹	gwai	0
佺	chuen	0
佻	tiu	0
佼	gaau	2
佽	chi	0
佾	yat	0
使	sai	1236
使	si	1236
侀	ying	0
侁	san	0
侂	tok	0
侃	hon	3
侄	jat	0
侅	goi	0
來	loi	4745
侇	yi	0
侈	chi	2
侉	kwa	0
例	lai	307
侍	si	10
侏	jue	5
侐	gwik	0
侑	yau	0
侔	mau	0
侖	lun	3
侗	dung	0
侘	cha	0
侚	sun	0
供	gung	336
侜	jau	0
依	yee	290
依	yi	290
侞	yue	0
侮	mo	11
侮	mou	11
侯	hau	37
侲	jan	0
侳	choh	0
侵	cham	45
侶	lui	24
侷	guk	2
侹	ting	0
