　	za	500
︳	za	495
︴	zc	495
﹏	zd	495
–	zw	500
︱	zx	500
—	zy	500
，	zb	500
﹐	zn	500
、	zc	500
；	zg	500
﹔	zr	500
：	zh	500
﹕	zs	500
！	zj	500
﹗	zu	500
？	zi	500
﹖	zt	500
．	ze	500
﹒	zp	500
︰	zk	500
‥	zm	500
…	zl	500
。	zd	500
·	zq	500
‘	zr	490
’	zs	490
“	zt	490
”	zu	490
〝	zv	490
〞	zw	490
（	ze	495
︵	zg	495
﹙	zl	490
）	zf	495
︶	zh	495
﹚	zm	490
｛	zi	495
︷	zk	495
﹛	zn	490
｝	zj	495
︸	zl	495
﹜	zo	495
︿	zb	490
〈	zy	495
〉	za	490
﹀	zc	490
《	zu	495
︽	zw	495
》	zv	495
︾	zx	495
「	zd	490
﹁	zf	490
」	ze	490
﹂	zg	490
『	zh	490
﹃	zj	490
』	zi	490
﹄	zk	490
【	zq	495
︻	zs	495
】	zr	495
︼	zt	495
〔	zm	495
︹	zo	500
﹝	zp	490
〕	zn	495
︺	zp	495
﹞	zq	490
‧	zf	500
′	zy	490
‵	zx	490
｜	zv	500
═	xm	500
║	xl	500
╒	xf	500
╓	xh	500
╔	xr	500
╕	xf	490
╖	xh	490
╗	xr	490
╘	xf	470
╙	xh	470
╚	xr	470
╛	xf	460
╜	xh	460
╝	xr	460
╞	xf	485
╟	xh	485
╠	xr	485
╡	xf	475
╢	xh	475
╣	xr	475
╤	xf	495
╥	xh	495
╦	xr	495
╧	xf	465
╨	xh	465
╩	xr	465
╪	xf	480
╫	xh	480
╬	xr	480
╭	xo	500
╮	xo	495
╯	xo	485
╰	xo	490
╴	zb	495
一	m	500
丁	mn	500
七	ju	500
丄	lm	10
万	ms	455
丈	jk	500
三	mm	495
上	ym	500
下	my	500
丌	ml	435
不	mf	500
与	ym	405
丏	ms	450
丐	ms	500
丑	ng	500
且	bm	500
丕	mm	475
世	pt	500
丘	om	495
丙	mb	500
业	tc	10
东	kd	10
丞	nm	495
丟	hi	490
両	mu	10
两	mb	10
並	tc	495
丨	xl	10
个	ol	10
丫	cl	500
丬	il	10
中	l	500
丮	nq	465
丯	qj	10
丰	qj	500
丱	vm	460
串	ll	485
丳	lw	460
丶	xi	10
⺀	xy	10
丷	xc	10
丸	ki	500
丹	by	500
主	yg	500
丼	ti	410
丽	mb	10
丿	xl	10
乂	k	495
乃	ns	500
久	no	500
乇	hp	375
么	hi	495
义	ik	10
之	io	500
乍	hs	495
乎	hd	500
乏	ho	490
乒	oh	495
乓	oi	485
乖	hp	485
乘	hp	470
乙	nu	500
⺄	xn	10
乚	xu	10
乛	xn	10
乜	pn	475
九	kn	500
乞	on	500
也	pd	500
乩	yu	495
乪	nw	10
乳	bu	485
乸	pi	10
乾	jn	470
乿	bu	380
亀	nu	10
亁	jn	10
亂	bu	425
亃	fu	420
亄	gu	395
亅	xn	10
了	nn	500
亇	nn	10
予	nn	495
争	nd	10
事	jn	495
二	mm	500
亍	mn	430
于	md	500
云	mi	500
互	mm	485
亓	ml	430
五	mm	480
井	tt	500
亘	mm	10
亙	mm	465
亚	mc	10
些	ym	490
亞	mm	455
亟	mm	445
亠	xy	10
亡	yv	500
亢	yn	500
亣	yl	10
交	yk	495
亥	yo	500
亦	yc	495
亨	yn	495
享	yd	485
京	yf	500
亭	yn	480
亮	yu	480
亳	yp	485
亶	ym	385
亷	yc	10
亹	ym	310
人	o	500
亻	xo	10
亼	om	10
亿	on	10
什	oj	500
仁	om	500
仂	os	460
仃	on	495
仄	mo	500
仆	oy	500
仇	on	490
仈	oc	415
仉	on	390
今	on	485
介	ol	500
仍	os	500
